API,constrinf,constrinf_2,neuri,symbolic,constrinf,constrinf_2,neuri,symbolic
tf.raw_ops.Abs.models,12005.0,11204.0,11433.0,0.0,763.0,868.0,1548.0,0.0
tf.raw_ops.Acos.models,13174.0,11113.0,0.0,0.0,858.0,930.0,0.0,0.0
tf.raw_ops.Acosh.models,13375.0,11300.0,0.0,0.0,713.0,712.0,0.0,0.0
tf.raw_ops.AddN.models,11862.0,0.0,13858.0,0.0,57.0,0.0,1294.0,0.0
tf.raw_ops.AddV2.models,14402.0,12638.0,14521.0,0.0,576.0,212.0,1411.0,0.0
tf.raw_ops.AdjustHue.models,13657.0,11943.0,13378.0,0.0,647.0,248.0,1364.0,0.0
tf.raw_ops.All.models,12014.0,0.0,0.0,0.0,580.0,0.0,0.0,0.0
tf.raw_ops.Any.models,11937.0,0.0,12774.0,0.0,239.0,0.0,245.0,0.0
tf.raw_ops.Asin.models,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tf.raw_ops.Asinh.models,0.0,0.0,12586.0,0.0,0.0,0.0,1510.0,0.0
tf.raw_ops.Atan2.models,0.0,12345.0,0.0,0.0,0.0,13.0,0.0,0.0
tf.raw_ops.Atanh.models,0.0,0.0,12311.0,0.0,0.0,0.0,1527.0,0.0
tf.raw_ops.BatchMatMulV2.models,16026.0,15091.0,16232.0,0.0,422.0,186.0,242.0,0.0
tf.raw_ops.BesselI0e.models,13339.0,,12475.0,0.0,749.0,,1471.0,0.0
tf.raw_ops.BesselI1e.models,13325.0,11557.0,12477.0,0.0,568.0,376.0,1409.0,0.0
tf.raw_ops.BiasAdd.models,14102.0,11906.0,0.0,0.0,424.0,26.0,0.0,0.0
tf.raw_ops.BiasAddGrad.models,14042.0,12042.0,0.0,0.0,662.0,460.0,0.0,0.0
tf.raw_ops.BitwiseAnd.models,13673.0,11561.0,0.0,0.0,81.0,69.0,0.0,0.0
tf.raw_ops.BitwiseXor.models,14810.0,12995.0,0.0,0.0,284.0,320.0,0.0,0.0
tf.raw_ops.BroadcastTo.models,12635.0,9968.0,0.0,0.0,424.0,212.0,0.0,0.0
tf.raw_ops.Bucketize.models,14338.0,,13346.0,0.0,795.0,,153.0,0.0
tf.raw_ops.Cholesky.models,17456.0,15624.0,16836.0,0.0,709.0,637.0,1149.0,0.0
tf.raw_ops.ComplexAbs.models,12370.0,,11455.0,0.0,746.0,,1034.0,0.0
tf.raw_ops.Conj.models,12372.0,10401.0,0.0,0.0,870.0,1120.0,0.0,0.0
tf.raw_ops.Cosh.models,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tf.raw_ops.DepthToSpace.models,12541.0,9641.0,0.0,0.0,787.0,702.0,0.0,0.0
tf.raw_ops.Digamma.models,13577.0,11448.0,0.0,0.0,530.0,774.0,0.0,0.0
tf.raw_ops.DivNoNan.models,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tf.raw_ops.Elu.models,0.0,0.0,12109.0,0.0,0.0,0.0,1567.0,0.0
tf.raw_ops.EluGrad.models,14319.0,12553.0,0.0,0.0,349.0,144.0,0.0,0.0
tf.raw_ops.Equal.models,14545.0,13038.0,14109.0,0.0,266.0,435.0,145.0,0.0
tf.raw_ops.FloorMod.models,14779.0,13497.0,14373.0,0.0,500.0,135.0,1488.0,0.0
tf.raw_ops.LogSoftmax.models,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
