API,deepconstr,deepconstr_cnt,deepconstr_2,deepconstr_2_cnt,neuri,neuri_cnt,improvement_ratio_deepconstr_vs_neuri,improvement_ratio_deepconstr_vs_deepconstr_2,symbolic,symbolic_cnt,improvement_ratio_deepconstr_vs_symbolic
tf.raw_ops.All,1074.0,1958.0,-8937.0,0.0,3776.0,146.0,-0.715572033898305,0.0,,,
tf.raw_ops.Sum,1693.0,195.0,,,4905.0,266.0,-0.654841997961264,0.0,,,
tf.raw_ops.Unpack,1679.0,4.0,,,2559.0,219.0,-0.3438843298163345,0.0,,,
tf.raw_ops.BiasAdd,2145.0,1.0,3330.0,125.0,3190.0,234.0,-0.3275862068965517,-0.35585585585585583,,,
tf.raw_ops.OneHot,2349.0,1.0,-8937.0,0.0,3340.0,206.0,-0.2967065868263473,0.0,,,
tf.raw_ops.Slice,1715.0,62.0,,,2332.0,111.0,-0.2645797598627787,0.0,,,
tf.raw_ops.LessEqual,2422.0,698.0,2423.0,647.0,3018.0,120.0,-0.19748177601060304,-0.0004127115146512588,,,
tf.raw_ops.BatchMatMulV2,4811.0,81.0,6467.0,490.0,5629.0,153.0,-0.14531888434890744,-0.2560692747796505,,,
tf.raw_ops.Transpose,2230.0,16.0,,,2597.0,299.0,-0.14131690412013861,0.0,,,
tf.raw_ops.LogicalAnd,2942.0,762.0,2999.0,1330.0,3420.0,153.0,-0.13976608187134504,-0.019006335445148383,,,
tf.raw_ops.Mul,3475.0,1409.0,4184.0,1601.0,3937.0,591.0,-0.11734823469646939,-0.1694550669216061,,,
tf.raw_ops.Identity,1075.0,2431.0,1075.0,2304.0,1201.0,621.0,-0.10491257285595337,0.0,,,
tf.raw_ops.Reshape,1411.0,218.0,,,1560.0,98.0,-0.0955128205128205,0.0,,,
tf.raw_ops.RandomGammaGrad,7126.0,593.0,7124.0,3.0,7784.0,47.0,-0.08453237410071943,0.00028074115665356543,,,
tf.raw_ops.BiasAddGrad,4673.0,202.0,4668.0,1009.0,5007.0,255.0,-0.06670661074495705,0.0010711225364181663,,,
tf.raw_ops.ComplexAbs,1378.0,126.0,,,1475.0,213.0,-0.06576271186440678,0.0,,,
tf.raw_ops.Squeeze,1487.0,1947.0,1484.0,2251.0,1548.0,604.0,-0.03940568475452196,0.0020215633423180594,,,
tf.raw_ops.LogicalNot,1425.0,3282.0,1425.0,3080.0,1470.0,124.0,-0.030612244897959183,0.0,,,
tf.raw_ops.BesselI1e,2857.0,1051.0,3477.0,815.0,2933.0,137.0,-0.025912035458574838,-0.17831463905665804,,,
tf.raw_ops.AddV2,3575.0,776.0,3766.0,1032.0,3656.0,503.0,-0.022155361050328226,-0.050716941051513545,,,
tf.raw_ops.Xlog1py,3978.0,289.0,4611.0,416.0,4060.0,122.0,-0.02019704433497537,-0.1372804163955758,,,
tf.raw_ops.DepthToSpace,2097.0,1675.0,2095.0,1513.0,2125.0,91.0,-0.013176470588235295,0.0009546539379474941,,,
tf.raw_ops.ReciprocalGrad,2690.0,526.0,3218.0,502.0,2695.0,119.0,-0.0018552875695732839,-0.16407706650093226,,,
tf.raw_ops.Any,-8937.0,0.0,-8937.0,0.0,3610.0,139.0,0.0,0.0,,,
tf.raw_ops.AddN,-8937.0,0.0,-8937.0,0.0,3140.0,272.0,0.0,0.0,,,
tf.raw_ops.Where,-8937.0,0.0,-8937.0,0.0,508.0,90.0,0.0,0.0,,,
tf.raw_ops.Prod,-8937.0,0.0,,,3828.0,154.0,0.0,0.0,,,
tf.raw_ops.StatelessRandomGetKeyCounter,-8937.0,0.0,-8937.0,0.0,2661.0,105.0,0.0,0.0,,,
tf.raw_ops.LowerBound,-8937.0,0.0,,,5128.0,96.0,0.0,0.0,,,
tf.raw_ops.ResizeBilinearGrad,-5077.0,0.0,-5483.0,0.0,5027.0,96.0,0.0,0.0,,,
tf.raw_ops.FusedBatchNorm,-8937.0,0.0,-8937.0,0.0,490.0,90.0,0.0,0.0,,,
tf.raw_ops.GatherNd,-8937.0,0.0,,,3410.0,121.0,0.0,0.0,,,
tf.raw_ops.Mean,-8937.0,0.0,-8937.0,0.0,4856.0,329.0,0.0,0.0,,,
tf.raw_ops.DiagPart,-8937.0,0.0,5619.0,329.0,5580.0,123.0,0.0,0.0,,,
tf.raw_ops.Max,-8937.0,0.0,-8937.0,0.0,3897.0,186.0,0.0,0.0,,,
tf.raw_ops.FloorDiv,4123.0,1380.0,,,4095.0,122.0,0.006837606837606838,0.0,,,
tf.raw_ops.StopGradient,1075.0,2332.0,1069.0,2770.0,1064.0,349.0,0.010338345864661654,0.005612722170252572,,,
tf.raw_ops.RealDiv,4164.0,1570.0,,,4109.0,202.0,0.013385251886103676,0.0,,,
tf.raw_ops.AdjustSaturation,4171.0,336.0,,,4104.0,128.0,0.016325536062378167,0.0,,,
tf.raw_ops.IgammaGradA,7379.0,149.0,7491.0,170.0,7207.0,97.0,0.02386568613847648,-0.014951274863169136,,,
tf.raw_ops.Min,3590.0,616.0,3461.0,687.0,3501.0,160.0,0.02542130819765781,0.037272464605605314,,,
tf.raw_ops.RGBToHSV,4126.0,393.0,,,4022.0,134.0,0.025857782197911485,0.0,,,
tf.raw_ops.Igamma,7469.0,458.0,7792.0,258.0,7260.0,103.0,0.02878787878787879,-0.04145277207392197,,,
tf.raw_ops.SelectV2,3668.0,46.0,-8937.0,0.0,3554.0,169.0,0.032076533483398985,0.0,,,
tf.raw_ops.Multinomial,6138.0,40.0,,,5932.0,94.0,0.034726904922454484,0.0,,,
tf.raw_ops.RsqrtGrad,3200.0,347.0,4258.0,218.0,3077.0,116.0,0.03997400064998375,-0.24847346171911697,,,
tf.raw_ops.AdjustHue,4378.0,129.0,4364.0,85.0,4199.0,100.0,0.04262919742795904,0.0032080659945004585,,,
tf.raw_ops.Select,4993.0,68.0,3358.0,12.0,4778.0,145.0,0.04499790707408958,0.4868969624776653,,,
tf.raw_ops.Betainc,7837.0,621.0,7908.0,330.0,7497.0,89.0,0.045351473922902494,-0.008978249873545776,,,
tf.raw_ops.Ndtri,4230.0,140.0,4232.0,145.0,4011.0,89.0,0.054599850411368736,-0.0004725897920604915,,,
tf.raw_ops.Zeta,4591.0,62.0,,,4348.0,126.0,0.05588776448942042,0.0,,,
tf.raw_ops.Sub,4092.0,179.0,3378.0,256.0,3856.0,304.0,0.061203319502074686,0.2113676731793961,,,
tf.raw_ops.Xdivy,4311.0,1467.0,4302.0,1215.0,4058.0,122.0,0.062345983242976834,0.0020920502092050207,,,
tf.raw_ops.Pow,4007.0,1490.0,,,3758.0,220.0,0.06625864821713677,0.0,,,
tf.raw_ops.LeftShift,3415.0,96.0,3441.0,71.0,3200.0,97.0,0.0671875,-0.007555943039814008,,,
tf.raw_ops.Cholesky,8074.0,476.0,8081.0,457.0,7562.0,133.0,0.06770695583179054,-0.0008662294270511075,,,
tf.raw_ops.Relu6Grad,3656.0,636.0,3641.0,531.0,3404.0,127.0,0.07403055229142186,0.004119747322164241,,,
tf.raw_ops.SquaredDifference,3423.0,894.0,3423.0,970.0,3141.0,130.0,0.08978032473734479,0.0,,,
tf.raw_ops.ArgMax,4614.0,2296.0,,,4228.0,152.0,0.0912961210974456,0.0,,,
tf.raw_ops.TanhGrad,3598.0,398.0,,,3284.0,118.0,0.09561510353227771,0.0,,,
tf.raw_ops.NextAfter,4152.0,24.0,4398.0,26.0,3787.0,100.0,0.09638236070768419,-0.05593451568894952,,,
tf.raw_ops.UpperBound,4810.0,523.0,5077.0,608.0,4370.0,91.0,0.10068649885583524,-0.052590112271026196,,,
tf.raw_ops.BitwiseAnd,3479.0,1740.0,3744.0,1569.0,3159.0,128.0,0.10129787907565685,-0.07077991452991453,,,
tf.raw_ops.LogSoftmax,7279.0,1624.0,7282.0,1551.0,6607.0,160.0,0.10171030724988649,-0.00041197473221642406,,,
tf.raw_ops.RightShift,3283.0,549.0,3248.0,486.0,2958.0,93.0,0.10987153482082489,0.010775862068965518,,,
tf.raw_ops.DivNoNan,4497.0,610.0,4941.0,1493.0,4051.0,154.0,0.1100962725253024,-0.08986035215543413,,,
tf.raw_ops.MatMul,4869.0,1104.0,4986.0,1085.0,4379.0,100.0,0.11189769353733729,-0.023465703971119134,,,
tf.raw_ops.BitwiseOr,3427.0,1184.0,3506.0,358.0,3081.0,119.0,0.11230120090879585,-0.02253280091272105,,,
tf.raw_ops.Polygamma,5236.0,57.0,,,4677.0,102.0,0.1195210605088732,0.0,,,
tf.raw_ops.FloorMod,4180.0,1111.0,4648.0,971.0,3708.0,105.0,0.1272923408845739,-0.10068846815834767,,,
