API,constrinf,constrinf_2,neuri,symbolic,constrinf.1,constrinf_2.1,neuri.1,symbolic.1
tf.abs.models,13399.0,12705.0,12442.0,12442.0,1576.0,1688.0,3032.0,3699.0
tf.acos.models,15242.0,13476.0,12398.0,12398.0,1532.0,1679.0,3063.0,3507.0
tf.add.models,14439.0,,15059.0,15238.0,795.0,,2282.0,2568.0
tf.asin.models,15080.0,13318.0,12398.0,12399.0,1506.0,1696.0,2772.0,3270.0
tf.atan.models,14926.0,14806.0,13346.0,13349.0,1039.0,1228.0,1902.0,2223.0
tf.cast.models,13701.0,13624.0,14096.0,14110.0,1767.0,1848.0,2739.0,3505.0
tf.clip_by_value.models,13874.0,,14099.0,14100.0,366.0,,2873.0,3321.0
tf.concat.models,13715.0,13728.0,14111.0,12577.0,1670.0,1610.0,32.0,1.0
tf.cos.models,13697.0,13716.0,12398.0,12399.0,1653.0,1676.0,2233.0,2641.0
tf.divide.models,15101.0,13709.0,15302.0,15233.0,1096.0,1538.0,2101.0,2350.0
tf.equal.models,15509.0,15541.0,13969.0,14176.0,1104.0,1072.0,2447.0,2898.0
tf.expand_dims.models,14435.0,14137.0,13060.0,13061.0,1300.0,1300.0,2555.0,3315.0
tf.experimental.numpy.log2.models,14815.0,14566.0,12399.0,12398.0,1280.0,1456.0,2181.0,2516.0
tf.experimental.numpy.tril.models,14555.0,14583.0,12222.0,12774.0,1182.0,1208.0,3.0,2.0
tf.experimental.numpy.triu.models,14236.0,12545.0,12991.0,13239.0,998.0,746.0,8.0,29.0
tf.floor.models,13545.0,13507.0,12400.0,12954.0,1349.0,1631.0,2513.0,3012.0
tf.gather.models,15319.0,13349.0,17238.0,17187.0,1015.0,609.0,1609.0,1701.0
tf.greater.models,13993.0,11891.0,14124.0,14245.0,407.0,58.0,2251.0,2929.0
tf.keras.layers.BatchNormalization.models,13688.0,13713.0,12398.0,12399.0,889.0,1374.0,1763.0,2146.0
tf.keras.layers.Dense.models,13618.0,13704.0,12398.0,12398.0,943.0,1411.0,1841.0,2334.0
tf.keras.layers.LeakyReLU.models,13615.0,13609.0,12398.0,12934.0,778.0,1180.0,1488.0,1783.0
tf.keras.layers.Relu.models,13701.0,13624.0,12398.0,12398.0,1230.0,1141.0,1550.0,1908.0
tf.less.models,14124.0,14335.0,14297.0,14064.0,692.0,646.0,1676.0,1972.0
tf.linalg.cholesky.models,19058.0,13711.0,8915.0,0.0,424.0,1113.0,1.0,0.0
tf.linalg.eigh.models,20515.0,13733.0,12402.0,12382.0,393.0,1665.0,5.0,17.0
tf.logical_or.models,13774.0,14843.0,14526.0,14503.0,813.0,855.0,2246.0,2670.0
tf.math.argmin.models,13715.0,13613.0,14738.0,14865.0,1607.0,1710.0,7.0,71.0
tf.math.ceil.models,13741.0,13700.0,12942.0,12929.0,1476.0,1627.0,2092.0,2412.0
tf.math.logical_xor.models,14657.0,14948.0,14882.0,15035.0,794.0,893.0,2061.0,2438.0
tf.math.reduce_max.models,15904.0,,15476.0,15477.0,1443.0,,2855.0,3241.0
