API,constrinf,constrinf_2,neuri,symbolic,constrinf.1,constrinf_2.1,neuri.1,symbolic.1
torch.Tensor.add_.models,38416.0,38250.0,38522.0,36852.0,774.0,336.0,438.0,9112.0
torch.Tensor.__and__.models,38139.0,36946.0,37383.0,36875.0,261.0,62.0,55.0,569.0
torch.Tensor.__iand__.models,38024.0,37860.0,37991.0,36865.0,97.0,17.0,78.0,458.0
torch.Tensor.addmm_.models,38455.0,38141.0,38020.0,36862.0,743.0,35.0,81.0,8826.0
torch.Tensor.__ior__.models,38125.0,37942.0,37988.0,36877.0,221.0,88.0,73.0,519.0
torch.Tensor.copysign.models,38193.0,38033.0,36933.0,36844.0,757.0,315.0,59.0,9158.0
torch.Tensor.__ixor__.models,38310.0,38124.0,37926.0,36857.0,189.0,121.0,22.0,328.0
torch.Tensor.diff.models,38330.0,38213.0,36936.0,36849.0,661.0,643.0,68.0,10192.0
torch.Tensor.__lshift__.models,38039.0,37366.0,37031.0,36863.0,92.0,74.0,60.0,155.0
torch.Tensor.div_.models,38141.0,38175.0,38441.0,36861.0,735.0,210.0,213.0,8793.0
torch.Tensor.ge.models,38176.0,37451.0,37009.0,36848.0,771.0,435.0,47.0,8598.0
torch.Tensor.__or__.models,38110.0,37432.0,37478.0,36858.0,155.0,71.0,432.0,273.0
torch.Tensor.ge_.models,38077.0,37618.0,36927.0,36862.0,667.0,1668.0,33.0,9440.0
torch.Tensor.__rshift__.models,38088.0,37436.0,36939.0,36860.0,149.0,130.0,23.0,181.0
torch.Tensor.gt.models,38152.0,37448.0,37344.0,36858.0,553.0,395.0,83.0,7285.0
torch.Tensor.__xor__.models,38087.0,37409.0,37321.0,36878.0,152.0,106.0,50.0,544.0
torch.Tensor.hardshrink.models,38027.0,36938.0,37042.0,36847.0,1127.0,1894.0,91.0,8126.0
torch.Tensor.abs.models,37957.0,36887.0,36960.0,36857.0,86.0,119.0,150.0,344.0
torch.Tensor.heaviside.models,38148.0,37907.0,37909.0,36850.0,1226.0,1090.0,75.0,8357.0
torch.Tensor.abs_.models,37976.0,37472.0,37657.0,36867.0,140.0,144.0,62.0,197.0
torch.Tensor.acos.models,37932.0,36864.0,36960.0,36855.0,67.0,68.0,67.0,192.0
torch.Tensor.heaviside_.models,38401.0,37973.0,37978.0,36862.0,776.0,1765.0,103.0,9910.0
torch.Tensor.index_select.models,38124.0,,36927.0,36835.0,688.0,,35.0,9091.0
torch.Tensor.acos_.models,38031.0,37536.0,37639.0,36870.0,170.0,1531.0,73.0,196.0
torch.Tensor.isinf.models,37933.0,37551.0,37615.0,36850.0,1104.0,1426.0,55.0,9203.0
torch.Tensor.acosh.models,37931.0,37548.0,36940.0,36859.0,92.0,119.0,39.0,257.0
torch.Tensor.add.models,38141.0,37521.0,37547.0,36866.0,130.0,82.0,36.0,137.0
torch.Tensor.isnan.models,38040.0,36894.0,36956.0,36856.0,973.0,1428.0,72.0,8482.0
torch.Tensor.add_.models,38388.0,38219.0,38460.0,36856.0,181.0,121.0,187.0,228.0
torch.Tensor.ldexp.models,38192.0,38107.0,37935.0,36865.0,939.0,365.0,67.0,8802.0
torch.Tensor.ldexp_.models,38145.0,38143.0,37970.0,36856.0,425.0,1245.0,32.0,8706.0
torch.Tensor.addbmm.models,37910.0,37879.0,36954.0,36857.0,96.0,1.0,48.0,156.0
torch.Tensor.le.models,38050.0,37380.0,37026.0,36849.0,1134.0,1776.0,66.0,9953.0
torch.Tensor.addcdiv.models,38140.0,38110.0,36949.0,36861.0,101.0,300.0,47.0,166.0
