API,constrinf,constrinf_2,neuri,symbolic,constrinf,constrinf_2,neuri,symbolic
tf.raw_ops.Abs.models,11997.0,11329.0,11436.0,10999.0,1463.0,1616.0,3238.0,3751.0
tf.raw_ops.Acos.models,13182.0,11121.0,12246.0,10997.0,1611.0,1865.0,3518.0,3818.0
tf.raw_ops.Acosh.models,13384.0,11307.0,12507.0,10999.0,1000.0,1093.0,2275.0,2661.0
tf.raw_ops.AddN.models,11945.0,0.0,14160.0,10999.0,78.0,0.0,1211.0,3467.0
tf.raw_ops.AddV2.models,14419.0,12687.0,14582.0,11008.0,695.0,335.0,1815.0,2714.0
tf.raw_ops.AdjustContrastv2.models,14123.0,12435.0,13407.0,10998.0,1477.0,1375.0,2950.0,3388.0
tf.raw_ops.AdjustHue.models,13659.0,11957.0,13377.0,11003.0,1241.0,493.0,2702.0,3623.0
tf.raw_ops.AdjustSaturation.models,13500.0,,13325.0,10998.0,1041.0,,2758.0,3895.0
tf.raw_ops.All.models,12016.0,0.0,13053.0,11005.0,1099.0,0.0,2945.0,3273.0
tf.raw_ops.Any.models,11953.0,0.0,13005.0,11040.0,574.0,0.0,145.0,3230.0
tf.raw_ops.Asin.models,0.0,0.0,11777.0,10999.0,0.0,0.0,3221.0,3623.0
tf.raw_ops.Asinh.models,0.0,0.0,12580.0,10999.0,0.0,0.0,2476.0,2919.0
tf.raw_ops.Atan.models,0.0,0.0,11749.0,10998.0,0.0,0.0,3044.0,3520.0
tf.raw_ops.Atan2.models,0.0,12472.0,13914.0,10999.0,0.0,20.0,3106.0,3403.0
tf.raw_ops.Atanh.models,0.0,0.0,12310.0,10992.0,0.0,0.0,2697.0,3133.0
tf.raw_ops.BatchMatMulV2.models,16070.0,15313.0,15773.0,10999.0,722.0,257.0,90.0,3053.0
tf.raw_ops.BesselI0e.models,13356.0,,12517.0,10972.0,1355.0,,2798.0,3432.0
tf.raw_ops.BesselI1e.models,13330.0,11562.0,12478.0,11013.0,909.0,674.0,2426.0,2930.0
tf.raw_ops.Betainc.models,18414.0,16532.0,18060.0,10998.0,675.0,6.0,2273.0,3256.0
tf.raw_ops.BiasAdd.models,14025.0,12064.0,13885.0,10998.0,769.0,43.0,3139.0,3600.0
tf.raw_ops.BiasAddGrad.models,14088.0,12048.0,13281.0,11007.0,1178.0,142.0,2600.0,3110.0
tf.raw_ops.BitwiseAnd.models,13818.0,12323.0,14172.0,10998.0,178.0,108.0,2915.0,3232.0
tf.raw_ops.BitwiseOr.models,14024.0,12567.0,14348.0,10952.0,604.0,48.0,3012.0,3306.0
tf.raw_ops.BitwiseXor.models,14828.0,13111.0,14142.0,10995.0,506.0,380.0,2825.0,2915.0
tf.raw_ops.BroadcastGradientArgs.models,13688.0,,11447.0,11001.0,1203.0,,63.0,3905.0
tf.raw_ops.BroadcastTo.models,12669.0,10117.0,11618.0,10999.0,624.0,187.0,3023.0,3388.0
tf.raw_ops.Bucketize.models,14353.0,,13773.0,11000.0,1296.0,,391.0,3245.0
tf.raw_ops.Ceil.models,0.0,0.0,11006.0,11536.0,0.0,0.0,3458.0,4007.0
tf.raw_ops.Cholesky.models,17536.0,15615.0,16836.0,10999.0,1206.0,1123.0,2128.0,3206.0
tf.raw_ops.ClipByValue.models,13725.0,12211.0,11505.0,10998.0,588.0,16.0,3409.0,3997.0
tf.raw_ops.ComplexAbs.models,12411.0,,11455.0,10999.0,1157.0,,890.0,3344.0
tf.raw_ops.Conj.models,12369.0,10403.0,11494.0,10999.0,1548.0,2057.0,3644.0,3327.0
tf.raw_ops.Cos.models,0.0,0.0,10999.0,10999.0,0.0,0.0,2848.0,3260.0
tf.raw_ops.Cosh.models,0.0,0.0,12221.0,10999.0,0.0,0.0,3304.0,3815.0
