API,constrinf,constrinf_2,neuri,symbolic,constrinf,constrinf_2,neuri,symbolic
tf.raw_ops.Abs.models,12003.0,11307.0,11422.0,10999.0,2316.0,2573.0,4986.0,5390.0
tf.raw_ops.Acosh.models,13381.0,11312.0,12518.0,10999.0,1967.0,2091.0,4354.0,5038.0
tf.raw_ops.AddN.models,11948.0,0.0,13911.0,10999.0,137.0,0.0,2442.0,4696.0
tf.raw_ops.AddV2.models,14477.0,12700.0,14667.0,10999.0,1411.0,648.0,3367.0,5048.0
tf.raw_ops.AdjustHue.models,13668.0,11942.0,13378.0,10998.0,1139.0,489.0,2410.0,3150.0
tf.raw_ops.Atan.models,0.0,0.0,11749.0,10999.0,0.0,0.0,1864.0,2193.0
tf.raw_ops.Atanh.models,0.0,0.0,12309.0,10996.0,0.0,0.0,2817.0,3159.0
tf.raw_ops.BatchMatMulV2.models,16030.0,15274.0,16440.0,10999.0,1286.0,519.0,330.0,5433.0
tf.raw_ops.BesselI1e.models,13333.0,11552.0,12477.0,11554.0,1589.0,1070.0,3925.0,4838.0
tf.raw_ops.Betainc.models,18374.0,16700.0,18062.0,10999.0,470.0,16.0,1413.0,2186.0
tf.raw_ops.BiasAdd.models,14131.0,12220.0,13898.0,10998.0,1026.0,48.0,4740.0,5242.0
tf.raw_ops.BitwiseAnd.models,14050.0,11744.0,14177.0,10998.0,251.0,205.0,4912.0,5269.0
tf.raw_ops.BitwiseXor.models,14838.0,13088.0,14349.0,10998.0,784.0,915.0,4547.0,5137.0
tf.raw_ops.Ceil.models,0.0,0.0,11006.0,10998.0,0.0,0.0,1891.0,2170.0
tf.raw_ops.Cholesky.models,17477.0,15616.0,16836.0,10998.0,1273.0,1173.0,2073.0,3121.0
tf.raw_ops.ComplexAbs.models,12406.0,,11458.0,10998.0,2078.0,,2021.0,5395.0
tf.raw_ops.Conj.models,12364.0,10402.0,11494.0,10998.0,963.0,1265.0,1948.0,1777.0
tf.raw_ops.Digamma.models,13592.0,11448.0,12644.0,10998.0,1686.0,2561.0,4424.0,3639.0
tf.raw_ops.DivNoNan.models,0.0,13407.0,14774.0,10999.0,0.0,177.0,4926.0,5355.0
tf.raw_ops.EluGrad.models,14330.0,12547.0,13826.0,11003.0,672.0,287.0,4235.0,3021.0
tf.raw_ops.Exp.models,0.0,0.0,11228.0,10999.0,0.0,0.0,1915.0,2215.0
tf.raw_ops.FloorMod.models,14808.0,13567.0,14374.0,11000.0,1553.0,358.0,4787.0,5287.0
tf.raw_ops.FusedBatchNorm.models,11952.0,0.0,11380.0,10998.0,901.0,0.0,2742.0,3155.0
tf.raw_ops.LogSoftmax.models,0.0,0.0,14165.0,10998.0,0.0,0.0,2594.0,3160.0
tf.raw_ops.LogicalAnd.models,13809.0,11453.0,14028.0,10997.0,132.0,92.0,607.0,1578.0
tf.raw_ops.LogicalNot.models,11980.0,9483.0,11343.0,10999.0,1918.0,2994.0,4673.0,4852.0
tf.raw_ops.Maximum.models,14457.0,12143.0,13970.0,10999.0,921.0,930.0,3045.0,3129.0
tf.raw_ops.Mean.models,11953.0,0.0,14143.0,10999.0,856.0,0.0,2876.0,3189.0
tf.raw_ops.Minimum.models,14338.0,12892.0,13644.0,10998.0,730.0,227.0,2987.0,3120.0
tf.raw_ops.Mul.models,14017.0,12710.0,14829.0,10999.0,970.0,206.0,4708.0,5032.0
tf.raw_ops.Ndtri.models,13456.0,11761.0,13155.0,10997.0,626.0,911.0,1380.0,1603.0
tf.raw_ops.Neg.models,11979.0,9526.0,11552.0,10999.0,2422.0,2867.0,4637.0,5350.0
tf.raw_ops.RsqrtGrad.models,,,,10998.0,,,,2182.0
tf.raw_ops.SelectV2.models,14112.0,0.0,13878.0,10998.0,456.0,0.0,66.0,2050.0
tf.raw_ops.Selu.models,0.0,0.0,12203.0,11010.0,0.0,0.0,2840.0,3178.0
tf.raw_ops.SeluGrad.models,,12062.0,13724.0,,,72.0,1904.0,
tf.raw_ops.Sin.models,0.0,0.0,11001.0,10998.0,0.0,0.0,1875.0,2186.0
tf.raw_ops.Softmax.models,0.0,0.0,13704.0,10998.0,0.0,0.0,1526.0,1795.0
tf.raw_ops.SoftmaxCrossEntropyWithLogits.models,0.0,0.0,13940.0,10998.0,0.0,0.0,4036.0,5014.0
tf.raw_ops.Softplus.models,0.0,0.0,12466.0,10998.0,0.0,0.0,1862.0,2210.0
tf.raw_ops.Sqrt.models,0.0,0.0,11162.0,10999.0,0.0,0.0,4423.0,5197.0
tf.raw_ops.SqrtGrad.models,14574.0,,14294.0,10998.0,717.0,,1594.0,1769.0
tf.raw_ops.Square.models,12097.0,10422.0,11144.0,10998.0,1550.0,1697.0,3096.0,3206.0
tf.raw_ops.SquaredDifference.models,14051.0,11665.0,13750.0,10999.0,1318.0,107.0,4914.0,5466.0
