API,neuri,neuri_cnt
tf.abs,12443,4760
tf.acos,12398,4716
tf.add,15309,4550
tf.asin,12398,4721
tf.atan,13344,4697
tf.clip_by_value,14103,4552
tf.concat,14988,1194
tf.cos,12398,4784
tf.equal,14217,4984
tf.expand_dims,13061,4959
tf.experimental.numpy.log2,12399,4714
tf.experimental.numpy.tril,13331,240
tf.experimental.numpy.triu,13384,247
tf.floor,12954,4750
tf.gather,17225,3133
tf.greater,14468,5160
tf.less,14185,5162
tf.linalg.cholesky,18157,628
tf.linalg.eigh,19770,532
tf.logical_or,14552,4833
tf.math.ceil,12941,4699
tf.math.logical_xor,15037,4754
tf.math.reduce_max,15637,5002
tf.math.reduce_mean,16289,4876
tf.math.reduce_min,15459,4750
tf.math.reduce_prod,15594,4720
tf.math.reduce_sum,15602,4328
tf.math.subtract,15338,2084
tf.maximum,15043,4652
tf.minimum,15115,4444
tf.multiply,15339,3225
tf.negative,12885,4791
tf.nn.depth_to_space,13140,210
tf.nn.gelu,14695,2938
tf.nn.softmax,16652,2181
tf.nn.space_to_depth,13141,234
tf.pow,12398,4207
tf.raw_ops.Abs,12833,4479
tf.raw_ops.Acos,13646,4508
tf.raw_ops.Acosh,13924,4225
tf.raw_ops.AddN,14135,1724
tf.raw_ops.AddV2,14597,4311
tf.raw_ops.AdjustContrastv2,14804,4236
tf.raw_ops.AdjustHue,14777,3171
tf.raw_ops.AdjustSaturation,14727,3517
tf.raw_ops.All,14435,4548
tf.raw_ops.Any,14945,1852
tf.raw_ops.ArgMax,14795,4317
tf.raw_ops.Asin,13184,5313
tf.raw_ops.Asinh,13989,5170
tf.raw_ops.Atan,13148,5206
tf.raw_ops.Atan2,13911,5388
tf.raw_ops.Atanh,13722,5057
tf.raw_ops.BatchMatMulV2,16846,1327
tf.raw_ops.BesselI0e,13877,4752
tf.raw_ops.BesselI1e,13877,4661
tf.raw_ops.Betainc,18059,3374
tf.raw_ops.BiasAdd,13855,5418
tf.raw_ops.BiasAddGrad,14695,5031
tf.raw_ops.BitwiseAnd,14202,5286
tf.raw_ops.BitwiseOr,14165,5380
tf.raw_ops.BitwiseXor,14141,5265
tf.raw_ops.BroadcastGradientArgs,12848,741
tf.raw_ops.BroadcastTo,13017,5226
tf.raw_ops.Bucketize,15194,2363
tf.raw_ops.Ceil,12927,5133
tf.raw_ops.Cholesky,18253,2884
