API,constrinf,constrinf_2,neuri,symbolic,constrinf,constrinf_2,neuri,symbolic
torch.Tensor.__and__.models,38139,36946,37383,36875,261,62,55,569
torch.Tensor.__iand__.models,38024,37860,37991,36865,97,17,78,458
torch.Tensor.__ior__.models,38125,37942,37988,36877,221,88,73,519
torch.Tensor.__ixor__.models,38310,38124,37926,36857,189,121,22,328
torch.Tensor.__lshift__.models,38039,37366,37031,36863,92,74,60,155
torch.Tensor.__or__.models,38110,37432,37478,36858,155,71,432,273
torch.Tensor.__rshift__.models,38088,37436,36939,36860,149,130,23,181
torch.Tensor.__xor__.models,38087,37409,37321,36878,152,106,50,544
torch.Tensor.abs.models,37957,36887,36960,36857,86,119,150,344
torch.Tensor.abs_.models,37976,37472,37657,36867,140,144,62,197
torch.Tensor.acos.models,37932,36864,36960,36855,67,68,67,192
torch.Tensor.acos_.models,38031,37536,37639,36870,170,1531,73,196
torch.Tensor.acosh.models,37931,37548,36940,36859,92,119,39,257
torch.Tensor.add.models,38141,37521,37547,36866,130,82,36,137
torch.Tensor.add_.models,38388,38219,38460,36856,181,121,187,228
torch.Tensor.addbmm.models,37910,37879,36954,36857,96,1,48,156
torch.Tensor.addcdiv.models,38140,38110,36949,36861,101,300,47,166
torch.Tensor.addcdiv_.models,38373,37641,38082,36863,151,10,52,339
torch.Tensor.addcmul.models,38153,37411,37462,36859,111,60,82,228
torch.Tensor.addcmul_.models,38356,38181,38348,36857,139,49,66,220
torch.Tensor.addmm.models,38212,0,36938,36851,92,0,41,242
torch.Tensor.addmm_.models,38100,38177,36953,36874,153,54,68,459
torch.Tensor.addmv.models,38195,37857,36955,36852,110,48,62,231
torch.Tensor.addmv_.models,38262,37747,37729,36878,238,6,107,1590
torch.Tensor.addr.models,37927,0,36952,36857,141,0,43,472
torch.Tensor.adjoint.models,38063,37593,37742,36857,77,83,67,157
torch.Tensor.all.models,37904,37495,37695,36852,86,220,66,132
torch.Tensor.amax.models,38026,37668,36953,36854,85,228,51,171
torch.Tensor.amin.models,38053,37623,36959,36855,103,203,93,166
torch.Tensor.aminmax.models,38103,37679,36940,36876,162,185,49,363
torch.Tensor.angle.models,37981,37566,36954,36867,142,194,94,516
torch.Tensor.any.models,38020,37543,37720,36867,179,310,63,306
torch.Tensor.argmax.models,38194,37693,37779,37720,259,1044,50,49
torch.Tensor.argmin.models,38081,37612,37778,37728,159,119,44,107
torch.Tensor.argsort.models,38208,37708,36942,36874,285,326,53,386
torch.Tensor.argwhere.models,37971,37563,36960,36857,68,42,95,163
torch.Tensor.as_strided.models,38255,37835,37858,36858,106,100,16,182
torch.Tensor.as_strided_.models,38090,37617,37827,36868,124,650,46,193
torch.Tensor.asin.models,37921,36882,36964,36847,59,52,52,131
torch.Tensor.asin_.models,37939,37518,37643,36861,90,101,60,299
torch.Tensor.asinh.models,37935,37509,36952,36867,97,134,61,218
torch.Tensor.atan.models,37914,36887,36959,36877,78,62,70,216
torch.Tensor.atan2.models,38083,37383,37357,36856,77,78,52,190
torch.Tensor.atan2_.models,38373,38155,37950,36867,127,67,53,153
torch.Tensor.atan_.models,38008,37513,37634,36870,106,117,76,270
torch.Tensor.atanh.models,37996,37534,36940,36874,94,112,49,221
torch.Tensor.bitwise_and.models,38086,0,37996,36866,216,0,87,490
torch.Tensor.bitwise_left_shift.models,38118,37943,36932,36857,127,945,28,190
torch.Tensor.bitwise_not.models,38048,37555,37627,36874,208,1216,67,308
torch.Tensor.bitwise_not_.models,38049,37545,37623,36876,232,1774,79,959
torch.Tensor.bitwise_or.models,38120,37969,38004,36860,62,85,65,155
torch.Tensor.bitwise_xor.models,38106,37965,37943,36863,138,85,82,137
torch.Tensor.bmm.models,38101,37854,38033,36864,85,97,111,131
torch.Tensor.broadcast_to.models,38200,37727,36879,36874,136,304,16,524
torch.Tensor.ceil.models,38004,36878,36954,36870,111,82,80,216
torch.Tensor.ceil_.models,37931,37480,37629,36863,88,72,49,216
torch.Tensor.cholesky.models,37998,37541,36949,36862,110,260,75,245
torch.Tensor.cholesky_inverse.models,38056,32804,36954,36856,104,95,69,265
torch.Tensor.cholesky_solve.models,38019,32863,36941,36870,169,1600,48,350
torch.Tensor.chunk.models,38266,37844,37868,36870,144,138,77,222
torch.Tensor.clamp.models,37713,36949,37094,36867,114,99,68,260
torch.Tensor.clamp_.models,37954,37654,37765,36870,84,108,101,235
torch.Tensor.clamp_max.models,37978,37559,37712,36869,107,127,52,228
torch.Tensor.clamp_max_.models,38016,37608,37701,36860,91,107,54,195
torch.Tensor.clamp_min.models,38024,37628,37698,36872,153,151,54,349
torch.Tensor.clamp_min_.models,38020,37601,37692,36874,153,204,46,620
torch.Tensor.conj.models,37990,36749,37716,36871,125,146,80,263
torch.Tensor.conj_physical.models,37600,37462,36944,36856,97,102,75,178
torch.Tensor.copysign.models,37993,37996,36950,36859,44,62,46,182
torch.Tensor.corrcoef.models,38264,37708,36907,36874,147,254,11,364
torch.Tensor.cos.models,37992,36908,36955,36851,109,105,93,232
torch.Tensor.cos_.models,37920,37504,37633,36855,91,101,60,274
torch.Tensor.cosh.models,38029,36914,36955,36857,145,143,69,280
torch.Tensor.cosh_.models,37910,37491,37644,36874,85,99,89,168
torch.Tensor.count_nonzero.models,38100,37776,36938,36878,202,200,56,1154
torch.Tensor.cov.models,38202,38008,36953,36853,92,110,78,199
torch.Tensor.cummax.models,37986,37551,36940,36867,93,73,60,278
torch.Tensor.cummin.models,37960,37556,36945,36863,95,70,65,282
torch.Tensor.cumprod.models,38019,37661,36949,36860,99,117,68,273
torch.Tensor.cumsum.models,38023,37655,36961,36863,91,87,76,164
torch.Tensor.cumsum_.models,38074,37663,37723,36852,151,121,64,219
torch.Tensor.deg2rad.models,37868,37511,36957,36852,67,78,132,152
torch.Tensor.det.models,38019,37595,36934,36858,93,80,40,311
torch.Tensor.diag.models,38129,0,36938,36869,203,0,33,280
torch.Tensor.diag_embed.models,38074,37586,36958,36873,79,21,51,205
torch.Tensor.diagflat.models,37663,0,36962,36864,5,0,73,205
torch.Tensor.diagonal.models,38198,37771,37853,36871,185,173,49,386
torch.Tensor.diff.models,38105,38159,36945,36869,75,81,74,163
torch.Tensor.digamma.models,37912,37560,36926,36861,105,125,29,271
torch.Tensor.digamma_.models,37945,37522,36955,36860,114,109,70,224
torch.Tensor.dist.models,38176,38072,36951,36873,94,205,32,201
torch.Tensor.div.models,38136,37533,37880,36861,143,94,55,339
torch.Tensor.div_.models,38046,38207,38444,36874,159,288,151,511
torch.Tensor.divide.models,38203,37098,36960,36861,145,92,103,502
torch.Tensor.divide_.models,38323,38214,36942,36860,106,764,55,255
torch.Tensor.dot.models,38205,37751,36936,36870,206,2320,43,381
torch.Tensor.dsplit.models,38127,37685,36939,36852,114,825,60,246
torch.Tensor.eq.models,38116,37418,37400,36866,106,139,65,177
torch.Tensor.erf.models,37921,36905,36940,36856,82,69,48,166
torch.Tensor.erf_.models,37879,37449,37638,36855,49,49,84,184
torch.Tensor.erfc.models,37994,36893,36935,36870,102,111,45,235
torch.Tensor.erfc_.models,37965,37472,37630,36858,67,56,72,172
torch.Tensor.erfinv.models,37896,37507,36959,36856,59,86,67,172
torch.Tensor.erfinv_.models,37981,37510,37655,36864,64,69,188,147
torch.Tensor.exp.models,37919,36834,36976,36863,77,45,76,183
torch.Tensor.exp2.models,37927,37542,36951,36858,109,108,89,240
torch.Tensor.exp_.models,37888,37467,37638,36866,86,96,47,218
torch.Tensor.expand.models,38329,36810,37357,37253,226,94,593,270
torch.Tensor.expand_as.models,38252,38018,38137,36855,123,62,88,260
torch.Tensor.expm1.models,37991,36883,36972,36851,101,94,119,245
torch.Tensor.expm1_.models,37931,37501,37595,36854,102,95,33,237
torch.Tensor.fill_.models,37991,37589,37752,36874,126,143,175,340
torch.Tensor.flatten.models,38140,37676,37823,37765,103,536,67,39
torch.Tensor.flip.models,37997,37603,37809,36857,81,140,105,201
torch.Tensor.fliplr.models,38008,37552,36940,36864,103,111,42,242
torch.Tensor.flipud.models,38011,37563,36942,36855,84,81,45,159
torch.Tensor.float_power.models,38091,37881,37736,36873,78,57,39,132
torch.Tensor.float_power_.models,38071,37609,37714,36863,115,494,32,227
torch.Tensor.floor.models,37984,36900,36951,36862,92,113,100,229
torch.Tensor.floor_.models,37910,37512,37626,36864,80,109,81,195
torch.Tensor.floor_divide.models,38069,37993,36940,36852,144,145,47,144
torch.Tensor.fmax.models,38083,38001,36944,36869,109,127,80,326
torch.Tensor.fmin.models,38109,37901,36932,36858,137,23,87,231
torch.Tensor.fmod.models,38099,37444,36958,36858,196,700,110,310
torch.Tensor.fmod_.models,38148,37933,36939,36856,121,54,52,250
torch.Tensor.frac.models,37979,36840,36959,36858,76,73,88,203
torch.Tensor.frac_.models,37949,37511,37637,36873,146,206,38,590
torch.Tensor.frexp.models,37957,37488,36952,36866,64,63,57,189
torch.Tensor.gather.models,38014,0,36947,36874,139,0,34,438
torch.Tensor.lerp.models,38147,37410,37485,36876,107,91,54,568
torch.Tensor.lgamma.models,37955,36886,36961,36879,110,93,71,265
torch.Tensor.lgamma_.models,37920,37498,37626,36870,79,85,73,175
torch.Tensor.log.models,38027,36898,36968,36869,114,141,107,381
torch.Tensor.log10.models,37998,36910,36967,36868,108,101,58,260
torch.Tensor.log10_.models,38008,37499,37642,36862,107,99,57,251
torch.Tensor.log1p.models,37966,36884,36961,36859,62,59,31,149
torch.Tensor.log1p_.models,37935,37481,37635,36867,76,86,68,186
torch.Tensor.log2.models,37920,36863,36956,36876,97,110,64,393
torch.Tensor.log2_.models,37941,37494,37632,36856,103,90,61,240
torch.Tensor.log_.models,37924,37477,37624,36867,81,90,42,184
torch.Tensor.log_softmax.models,38062,37653,37721,36872,209,1255,65,402
torch.Tensor.logical_and.models,38074,37974,37959,36863,128,835,46,244
torch.Tensor.logical_not.models,37987,37489,37616,36861,119,122,49,272
torch.Tensor.logical_not_.models,37623,37460,37622,36858,112,125,77,221
torch.Tensor.logical_or.models,38085,38015,38011,36871,71,73,77,162
torch.Tensor.logical_or_.models,38043,37997,37971,36857,94,65,48,211
torch.Tensor.logical_xor.models,38127,37960,37979,36860,99,92,52,266
torch.Tensor.logical_xor_.models,38349,38252,37625,36876,180,311,65,646
torch.Tensor.lt.models,38110,37398,37031,36864,108,87,37,471
torch.Tensor.masked_fill.models,38083,38029,38035,36875,105,67,66,247
torch.Tensor.masked_fill_.models,38137,37919,38153,36854,185,14,158,287
torch.Tensor.masked_scatter.models,38021,37994,36952,36864,43,13,89,190
torch.Tensor.masked_select.models,38282,37981,36948,36875,179,211,86,426
torch.Tensor.matmul.models,38419,37654,37621,36875,190,286,191,570
torch.Tensor.matrix_exp.models,38468,38031,36952,36861,49,12,86,270
torch.Tensor.matrix_power.models,38324,37924,36955,36859,75,39,35,240
torch.Tensor.max.models,38136,37431,37821,37762,111,139,88,440
torch.Tensor.maximum.models,38123,37998,36949,36851,142,146,45,218
torch.Tensor.mean.models,38053,37599,37924,37848,115,334,113,265
torch.Tensor.median.models,37945,37488,36952,36860,96,357,67,148
torch.Tensor.min.models,38112,37421,37809,37761,129,209,48,301
torch.Tensor.minimum.models,38060,37963,36945,36851,81,767,68,155
torch.Tensor.mm.models,38107,37879,37937,36872,121,1097,50,266
torch.Tensor.mode.models,38160,37668,36952,36878,346,1048,56,1928
torch.Tensor.moveaxis.models,0,37518,36949,36854,0,11,41,233
torch.Tensor.movedim.models,38199,37766,37927,36868,250,1705,189,282
torch.Tensor.msort.models,37996,37596,36955,36860,71,56,52,179
torch.Tensor.mul.models,38164,37374,37586,36857,219,90,127,338
torch.Tensor.mul_.models,38277,38165,38378,36871,117,86,227,336
torch.Tensor.mv.models,38224,37750,37967,36879,226,2,85,793
torch.Tensor.mvlgamma.models,38050,37678,36941,36871,82,69,61,234
torch.Tensor.nan_to_num.models,38018,37632,37696,36867,107,144,36,365
torch.Tensor.nan_to_num_.models,37951,37593,37727,36852,87,126,52,248
torch.Tensor.nanmean.models,38066,37654,36948,36875,128,2212,70,218
torch.Tensor.nanmedian.models,37998,37497,36948,36874,115,583,56,212
torch.Tensor.narrow.models,38244,37726,37782,36870,324,124,44,321
torch.Tensor.transpose.models,38205,37769,37842,37843,158,1023,46,30
torch.Tensor.transpose_.models,38191,37701,37767,36875,185,2445,114,285
torch.Tensor.tril.models,38008,37567,37721,37580,249,295,13,4
torch.Tensor.tril_.models,38055,37555,37689,36862,114,80,45,276
torch.Tensor.triu_.models,38050,37541,37699,36872,153,130,56,490
torch.Tensor.trunc.models,37962,36902,36959,36866,105,112,64,393
torch.Tensor.trunc_.models,37586,37486,37649,36856,71,64,92,195
torch.Tensor.type_as.models,38058,37483,36970,36859,92,106,72,248
torch.Tensor.unfold.models,38262,37744,37879,36884,206,395,80,1117
torch.Tensor.unique_consecutive.models,38255,37808,36951,36877,149,199,77,664
torch.Tensor.unsqueeze.models,38011,37006,37141,36854,90,100,261,271
torch.Tensor.unsqueeze_.models,38021,37590,37700,36865,111,72,57,184
torch.Tensor.view.models,38094,0,37857,36871,157,0,214,513
torch.Tensor.view_as.models,38192,38056,38020,36862,127,405,40,192
torch.Tensor.xlogy_.models,38084,38179,38105,36860,86,129,106,156
torch.Tensor.zero_.models,37932,37478,37654,36870,78,72,293,172
torch._C._linalg.linalg_matrix_power.models,38418,38257,37971,36879,166,98,156,935
torch._C._linalg.linalg_matrix_rank.models,38328,33013,37096,36886,308,105,135,17318
torch.adaptive_avg_pool1d.models,38150,37774,37937,36863,75,159,60,125
